Year,,Value
1999,,0
2000,13,0.00831202
2002,20,0.012787724
2003,11,0.007033248
2004,19,0.012148338
2005,28,0.017902813
2006,34,0.02173913
2007,28,0.017902813
2008,27,0.017263427
2009,23,0.014705882
2010,41,0.026214834
2011,205,0.131074169
2012,647,0.413682864
2013,1468,0.938618926
2014,1564,1
2015,1004,0.641943734
2016,503,0.321611253
