Year,,Value
1999,160,0.034416003
2000,150,0.032265003
2001,139,0.029898903
2002,226,0.048612605
2003,178,0.038287804
2004,109,0.023445902
2005,82,0.017638202
2006,125,0.026887503
2007,285,0.061303506
2008,357,0.076790708
2009,370,0.079587008
2010,387,0.083243708
2011,688,0.147988815
2012,1146,0.246504625
2013,1852,0.39836524
2014,3768,0.810496881
2015,4649,1
2016,1572,0.338137234
