Year,,Value
1999,229,0.009418442
2000,161,0.006621699
2001,133,0.0054701
2002,132,0.005428971
2003,143,0.005881385
2004,134,0.005511228
2005,78,0.003208028
2006,88,0.003619314
2007,166,0.006827342
2008,140,0.005758
2009,279,0.01147487
2010,194,0.007978942
2011,423,0.017397384
2012,922,0.03792054
2013,1991,0.081886979
2014,7661,0.315085959
2015,24314,1
2016,6882,0.283046804
