Year,,Value
1999,850,0.045515395
2000,1077,0.057670683
2001,522,0.027951807
2002,322,0.017242303
2003,234,0.01253012
2004,180,0.009638554
2005,280,0.014993307
2006,293,0.015689424
2007,36,0.001927711
2008,48,0.002570281
2009,101,0.0054083
2010,125,0.00669344
2011,168,0.008995984
2012,454,0.024310576
2013,2673,0.14313253
2014,8748,0.468433735
2015,18675,1
2016,1792,0.095957162
