Year,,Value
1999,,0
2000,,0
2001,46,0.026255708
2002,10,0.005707763
2003,37,0.021118721
2004,547,0.312214612
2005,1205,0.687785388
2006,1255,0.716324201
2007,1752,1
2008,963,0.549657534
2009,224,0.127853881
2010,96,0.054794521
2011,187,0.10673516
2012,564,0.321917808
2013,562,0.320776256
2014,984,0.561643836
2015,908,0.51826484
2016,720,0.410958904
