Year,,Value
1999,8,0.00114139
2001,15,0.002140106
2002,13,0.001854758
2003,20,0.002853474
2004,44,0.006277643
2005,57,0.008132401
2006,143,0.02040234
2007,1311,0.187045228
2008,808,0.115280354
2009,965,0.137680126
2010,167,0.023826509
2011,352,0.050221144
2012,275,0.039235269
2013,485,0.069196747
2014,791,0.112854901
2015,3319,0.473534028
2016,7009,1
