Year,,Value
1999,31,0.000483763
2000,41,0.000639815
2001,17,0.000265289
2002,20,0.000312105
2003,11,0.000171658
2004,10,0.000156052
2005,18,0.000280894
2006,32,0.000499368
2007,48,0.000749052
2008,16,0.000249684
2009,19,0.0002965
2010,26,0.000405736
2011,91,0.001420078
2012,145,0.002262761
2013,960,0.01498104
2014,6749,0.10531983
2015,64081,1
2016,4105,0.06405955
