Year,,Value
1999,27,0.005283757
2000,17,0.00332681
2001,90,0.017612524
2002,29,0.005675147
2003,49,0.009589041
2004,52,0.010176125
2005,32,0.006262231
2006,21,0.004109589
2007,45,0.008806262
2008,32,0.006262231
2009,61,0.011937378
2010,192,0.037573386
2011,119,0.023287671
2012,629,0.123091977
2013,1303,0.254990215
2014,3129,0.612328767
2015,5110,1
2016,3984,0.77964775
