Year,,Value
1999,116,0.011389298
2000,292,0.028669612
2001,230,0.022582229
2002,199,0.019538537
2003,210,0.020618557
2004,182,0.017869416
2005,228,0.022385862
2006,167,0.016396662
2007,199,0.019538537
2008,281,0.027589593
2009,335,0.032891507
2010,302,0.029651448
2011,494,0.0485027
2012,798,0.078350515
2013,944,0.092685322
2014,2524,0.247815415
2015,10185,1
2016,1913,0.187825233
