Year,,Value
1999,,0
2000,,0
2001,115,0.041159628
2002,83,0.029706514
2003,156,0.05583393
2004,412,0.14745884
2005,388,0.138869005
2006,179,0.064065855
2007,188,0.067287044
2008,181,0.064781675
2009,173,0.061918397
2010,158,0.056549749
2011,508,0.181818182
2012,1289,0.461345741
2013,2020,0.72297781
2014,2353,0.842161775
2015,2794,1
2016,1186,0.424481031
