Year,,Value
1999,30,0.005331438
2000,26,0.004620579
2001,9,0.001599431
2002,1,0.000177715
2003,7,0.001244002
2004,39,0.006930869
2005,35,0.006220011
2006,15,0.002665719
2007,31,0.005509152
2008,97,0.017238315
2009,30,0.005331438
2010,19,0.003376577
2011,30,0.005331438
2012,255,0.045317221
2013,725,0.128843078
2014,1666,0.296072508
2015,5627,1
2016,1701,0.302292518
