Year,,Value
1999,3,0.000358594
2000,4,0.000478126
2001,11,0.001314846
2002,13,0.001553909
2003,8,0.000956251
2004,15,0.001792972
2005,10,0.001195314
2006,7,0.00083672
2007,21,0.00251016
2008,22,0.002629692
2009,46,0.005498446
2010,37,0.004422663
2011,188,0.02247191
2012,24,0.002868754
2013,108,0.012909395
2014,8366,1
2015,103,0.012311738
2016,26,0.003107817
