Year,,Value
1999,95,0.132311978
2000,72,0.100278552
2001,119,0.165738162
2002,86,0.119777159
2003,114,0.158774373
2004,74,0.103064067
2005,67,0.093314763
2006,45,0.062674095
2007,68,0.094707521
2008,76,0.105849582
2009,89,0.123955432
2010,126,0.175487465
2011,176,0.245125348
2012,336,0.467966574
2013,493,0.686629526
2014,558,0.777158774
2015,581,0.809192201
2016,718,1
