Year,,Value
1999,38,0.012459016
2000,37,0.012131148
2001,35,0.01147541
2002,50,0.016393443
2003,40,0.013114754
2004,29,0.009508197
2005,53,0.017377049
2006,46,0.015081967
2007,30,0.009836066
2008,66,0.021639344
2009,59,0.019344262
2010,42,0.013770492
2011,81,0.026557377
2012,1159,0.38
2013,1982,0.649836066
2014,2427,0.795737705
2015,3050,1
2016,327,0.107213115
