Year,,Value
1999,331,0.260015711
2000,489,0.384131972
2001,921,0.723487824
2002,384,0.301649647
2003,687,0.539670071
2004,1106,0.868813826
2005,777,0.610369207
2006,720,0.565593087
2007,1270,0.997643362
2008,985,0.773762765
2009,1273,1
2010,1127,0.885310291
2011,775,0.608798115
2012,671,0.527101335
2013,330,0.259230165
2014,200,0.157109191
2015,208,0.163393559
2016,307,0.241162608
