Year,,Value
1999,38,0.00441655
2000,55,0.006392376
2001,97,0.011273826
2002,30,0.00348675
2003,56,0.006508601
2004,56,0.006508601
2005,46,0.005346351
2006,55,0.006392376
2007,74,0.008600651
2008,105,0.012203626
2009,383,0.044514179
2010,821,0.095420735
2011,428,0.049744305
2012,907,0.105416086
2013,1702,0.19781497
2014,7185,0.835076709
2015,8604,1
2016,999,0.116108787
