Year,,Value
1999,95,0.009030418
2000,60,0.005703422
2001,57,0.005418251
2002,80,0.007604563
2003,97,0.009220532
2004,71,0.006749049
2005,79,0.007509506
2006,49,0.004657795
2007,48,0.004562738
2008,114,0.010836502
2009,271,0.025760456
2010,110,0.010456274
2011,189,0.017965779
2012,312,0.029657795
2013,868,0.082509506
2014,1978,0.188022814
2015,10520,1
2016,361,0.034315589
