Year,,Value
1999,2193,0.009469566
2000,2721,0.011749516
2001,2308,0.009966146
2002,1842,0.007953917
2003,1188,0.005129888
2004,776,0.003350836
2005,878,0.003791281
2006,608,0.002625397
2007,604,0.002608125
2008,744,0.003212657
2009,819,0.003536514
2010,1490,0.006433951
2011,2634,0.011373843
2012,6201,0.026776461
2013,11851,0.051173656
2014,39332,0.169839022
2015,158657,0.685094825
2016,231584,1
